Kapitelnummer,Position im Kapitel,work id,Datum (Korrekturhilfe),Dateipfad (Korrekturhilfe)
,40,work01069,,/korrigiert/bd1/001_Werke/006_DrehbücherundTextefürFilme/004_WasdieNachtspricht.xml
,50,work00582,,/korrigiert/bd1/001_Werke/006_DrehbücherundTextefürFilme/005_Malina.xml
,60,work00265,,/korrigiert/bd1/001_Werke/006_DrehbücherundTextefürFilme/006_DieSchöpfung.xml
,70,work00104,,/korrigiert/bd1/001_Werke/006_DrehbücherundTextefürFilme/007_DasFallenDieFalle.xml
1.7,,,,
,10,work00542,,/korrigiert/bd1/001_Werke/007_Kompositionen/001_Klage.xml
,20,work00593,,/korrigiert/bd1/001_Werke/007_Kompositionen/002_meineliebe.xml
,30,work00216,,/korrigiert/bd1/001_Werke/007_Kompositionen/003_DieBalladevonVillonu.xml
1.8,,,,
,10,work00440,,/korrigiert/bd1/001_Werke/008_TextefürKompositionen/001_HellerSchein.xml
,20,work00332,,/korrigiert/bd1/001_Werke/008_TextefürKompositionen/002_ElfiundAndi.xml
1.9.1,,,,
,10,work00917,,/korrigiert/bd1/001_Werke/009_LibrettiOper/001_RobertderTeufel.xml
,20,work00057,,/korrigiert/bd1/001_Werke/009_LibrettiOper/002_BählammsFest.xml
,30,work00578,,/korrigiert/bd1/001_Werke/009_LibrettiOper/006_LostHighway.xml
,40,work00189,,/korrigiert/bd1/001_Werke/009_LibrettiOper/009_DertausendjährigePos.xml
1.9.2,,,,
,10,work01025,,/korrigiert/bd1/001_Werke/010_LibrettiBallett/001_UnruhigesWohnen.xml
,20,work00195,,/korrigiert/bd1/001_Werke/010_LibrettiBallett/002_DerTodunddasMädchenI.xml
,30,work00468,,/korrigiert/bd1/001_Werke/010_LibrettiBallett/003_Ikarus.xml
1.10.1-01,,,,
,10,work01203,2005,/korrigiert/bd1/001_Werke/011_EssayistischeTexteRedenundStatements/001_Sammelbände/001_UngebärdigeWegezuspä.xml
1.10.1-02,,,,
,10,work01190,2006,/korrigiert/bd1/001_Werke/011_EssayistischeTexteRedenundStatements/001_Sammelbände/002_Einar.xml
1.10.1-03,,,,
,10,work01196,2012,/korrigiert/bd1/001_Werke/011_EssayistischeTexteRedenundStatements/001_Sammelbände/003_ElfriedeJelinekMojas.xml
1.10.1-04,,,,
,10,work01198,2010,/korrigiert/bd1/001_Werke/011_EssayistischeTexteRedenundStatements/001_Sammelbände/004_SmyslbezrazlienTelob.xml
1.10.1-05,,,,
,10,work01199,2007,/korrigiert/bd1/001_Werke/011_EssayistischeTexteRedenundStatements/001_Sammelbände/005_Lapalabradisfrazadad.xml
1.10.1-06,,,,
,10,work01202,2014,/korrigiert/bd1/001_Werke/011_EssayistischeTexteRedenundStatements/001_Sammelbände/006_ManualdesabotagemEsc.xml
1.10.2,,,,
,10,work01005,1967,/korrigiert/bd1/001_Werke/011_EssayistischeTexteRedenundStatements/002_PersönlichesundBiographisches/001_Übermich.xml
